time,v_id,event,p_id
00:00:04,0,1,
00:00:08,1,1,
00:00:10,2,1,
00:00:12,3,1,
00:00:14,4,1,
00:00:17,5,1,
00:00:57,7,1,
00:01:34,8,1,
00:01:38,10,1,
00:01:41,11,1,
00:01:46,12,1,
00:01:51,14,1,
00:02:04,16,1,
00:02:27,17,2,10
00:02:27,17,3,16
00:02:27,17,3,29
00:03:09,18,2,63
00:03:11,19,1,
00:03:18,20,1,
00:03:20,21,1,
00:03:24,22,1,
00:03:29,23,1,
00:04:02,24,1,
00:04:43,25,1,
00:04:47,26,1,
00:04:55,27,1,
00:04:59,28,1,
00:05:43,29,2,92
00:05:43,29,2,76
00:05:45,31,2,76
00:05:49,32,1,
00:06:13,33,2,130
00:08:05,34,1,
00:08:07,35,1,
00:08:11,36,1,
00:08:14,37,1,
00:08:20,38,1,
00:08:39,39,1,
00:08:47,40,1,
00:08:49,41,3,156
00:08:51,42,3,158
00:08:51,42,3,156
00:12:34,44,2,310
00:12:34,44,2,311
00:12:34,44,2,302
00:12:34,44,2,313
00:12:37,55,1,
00:12:38,56,1,
00:12:41,58,1,
00:12:43,59,1,
00:12:45,60,1,
00:13:47,61,1,
00:14:25,62,1,
00:14:30,65,3,337
00:14:30,65,3,336
00:14:30,65,3,374
00:14:39,67,2,337
00:14:39,67,2,336
00:14:39,67,2,374
00:15:20,68,3,336
00:15:20,68,3,374
00:15:29,69,2,336
00:15:29,69,2,374
00:15:59,72,1,
